ID,Nome da Empresa,Segmento,Data de Cadastro,Número de Funcionários,Faturamento Anual,Valor Total do Contrato,MRR
0001,Padaria Pão Dourado LTDA,Alimentos e Bebidas,03/08/2021,11-100,Até R$360.000,212143,17678
0002,Construtora Solidez ME,Construção Civil,10/02/2021,101-500,Até R$360.000,13656,1138
0003,Cantina Delícia SA,Alimentos e Bebidas,27/12/2022,101-500,Até R$360.000,494467,41205
0004,Faculdade Horizonte ME,Educação,17/11/2022,101-500,R$360.000 - R$4.800.000,438228,36519
0005,Finança Ágil ME,Financeiro,28/02/2021,101-500,Até R$360.000,79126,6593
0006,Mercado Bom Gosto EIRELI,Alimentos e Bebidas,02/05/2020,101-500,R$360.000 - R$4.800.000,456425,38035
0007,Confecções Vestir Bem LTDA,Moda e Vestuário,19/06/2024,101-500,Até R$360.000,475608,39634
0008,LogisService EIRELI,Logística e Transporte,30/05/2024,101-500,R$360.000 - R$4.800.000,268977,22414
0009,Confecções Vestir Bem SA,Moda e Vestuário,27/02/2023,101-500,Até R$360.000,489439,40786
0010,Cargas & Fretes Seguros SA,Logística e Transporte,15/08/2020,101-500,Até R$360.000,243014,20251
0011,Banco Valor Seguro SA,Financeiro,29/10/2020,101-500,Até R$360.000,78832,6569
0012,InfoCloud EIRELI,Tecnologia,15/12/2021,101-500,R$360.000 - R$4.800.000,337200,28100
0013,Transportadora Rápido Expresso EIRELI,Logística e Transporte,02/01/2025,101-500,Até R$360.000,366964,30580
0014,Colégio Evoluir SA,Educação,29/09/2023,6-10,Até R$360.000,107708,8975
0015,Cantina Delícia SA,Alimentos e Bebidas,12/02/2022,101-500,Até R$360.000,74216,6184
0016,Instituto Conhecer LTDA,Educação,31/12/2021,101-500,R$360.000 - R$4.800.000,385098,32091
0017,Hotelaria Conforto Total SA,Turismo,19/10/2020,101-500,R$360.000 - R$4.800.000,395993,32999
0018,Finança Ágil SA,Financeiro,16/11/2023,11-100,Até R$360.000,416680,34723
0019,Revenda AutoTop LTDA,Automotivo,23/12/2022,11-100,Até R$360.000,314371,26197
