ID da Empresa,Nome da Empresa,Responsável,Equipe Responsável,Created At,Atualizado em,CNPJ,Razão Social,Modelo de Mercado,Setor,Indústria,Segmento,Modelo de Negócio,Modelo de Receita,CNAE,Estágio de escala,Porte da Empresa,Número de Funcionários,Receita Anual,Endereço,Ano de Fundação,Telefone,URL do Site,Página do Linkedin da Empresa,Instagram,Número de CNPJs vinculados
00000001,Escala.Ai,Alexandre Bazzi,Vendas,09/04/2024,09/04/2024,59.795.788/0001-12,Escala.ai Sistemas de Inteligencia de Negocios LTDA,B2B,Primário,Serviços Profissionais,Consultoria,,,,,Micro,6-10,R$4.800.000 - R$300.000.000,"R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-000",2020,,https://www.escala.ai/,https://www.linkedin.com/in/bazzi/,https://www.instagram.com/ale.bazzii/,1
00000002,Supermercado União,Rafael Giacomini,Marketing,09/04/2024,09/04/2024,59.795.788/0001-12,Supermercado União LTDA,B2C,Secundário,Automotiva,Veículos Elétricos,,,,,Média,6-10,R$360.000 - R$4.800.000,"R. José Maria Lisboa, 420 - Jardim Paulista, São Paulo - SP, 01423-001",2010,,www.supermercadounião.com.br,https://www.linkedin.com/in/supermercado-união,https://www.instagram.com/supermercado-união,1
00000003,Grama Verde,Luiza Aduan,Pessoas,09/04/2024,09/04/2024,59.795.788/0001-12,Grama Verde LTDA,B2B,Terciário,Tecnologia e Eletrônicos,Semicondutores,,,,,Grande,101-500,R$4.800.000 - R$300.000.000,"R. José Maria Lisboa, 380 - Jardim Paulista, São Paulo - SP, 01423-002",1990,,www.gramaverde.com.br,https://www.linkedin.com/in/grama-verde,https://www.instagram.com/grama-verde,2
00000004,Quadro,Vinícius Freitas,Operações,09/04/2024,09/04/2024,59.795.788/0001-12,Quadro S/A,B2G,Secundário,Farmacêutica,Biotecnologia Médica,,,,,Pequena,101-500,R$300.000.000 - R$1.000.000.000,"R. José Maria Lisboa, 580 - Jardim Paulista, São Paulo - SP, 01423-003",1980,,www.quadro.com.br,https://www.linkedin.com/in/quadro,https://www.instagram.com/quadro,4
00000005,Madeireira Vitória,Marcos André,Parcerias,09/04/2024,09/04/2024,59.795.788/0001-12,Madeireira Vitória LTDA,C2C,Terciário,Alimentos e Bebidas,Orgânicos e Naturais,,,,,Micro,101-500,R$4.800.000 - R$300.000.000,"R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-004",2011,,www.madeireiravitória.com.br,https://www.linkedin.com/in/madeireira-vitória,https://www.instagram.com/madeireira-vitória,1
00000006,Conforto Estofados,Felipe Vieira,Vendas,09/04/2024,09/04/2024,59.795.788/0001-12,Conforto Estofados LTDA,B2B2C,Primário,A&B,Distribuição,,,,,Micro,101-500,R$360.000 - R$4.800.000,"R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-005",2012,,www.confortoestofados.com.br,https://www.linkedin.com/in/conforto-estofados,https://www.instagram.com/conforto-estofados,2
00000007,LG Monitores,Alexandre Bazzi,Marketing,09/04/2024,09/04/2024,59.795.788/0001-12,LG Monitores S/A,B2C,Secundário,Química,Agroquímicos,,,,,Média,6-10,R$4.800.000 - R$300.000.000,"R. José Maria Lisboa, 470 - Jardim Paulista, São Paulo - SP, 01423-006",2020,,www.lgmonitores.com.br,https://www.linkedin.com/in/lg-monitores,https://www.instagram.com/lg-monitores,1
00000008,DELL Computadores,Rafael Giacomini,Pessoas,09/04/2024,09/04/2024,59.795.788/0001-12,DELL Computadores S/A,B2B,Terciário,Energia,Energias Renováveis,,,,,Micro,6-10,R$300.000.000 - R$1.000.000.000,"R. José Maria Lisboa, 486 - Jardim Paulista, São Paulo - SP, 01423-007",2010,,www.dellcomputadores.com.br,https://www.linkedin.com/in/dell-computadores,https://www.instagram.com/dell-computadores,1
00000009,Apple,Luiza Aduan,Vendas,09/04/2024,09/04/2024,59.795.788/0001-12,Apple LTDA,B2G,Secundário,Construção,Construção Verde,,,,,Média,101-500,R$4.800.000 - R$300.000.000,"R. José Maria Lisboa, 320 - Jardim Paulista, São Paulo - SP, 01423-008",1990,,www.apple.com.br,https://www.linkedin.com/in/apple,https://www.instagram.com/apple,2
00000010,Samsung,Vinícius Freitas,Marketing,09/04/2024,09/04/2024,59.795.788/0001-12,Samsung LTDA,C2C,Primário,Aeronáutica,Aviação Comercial,,,,,Grande,101-500,R$360.000 - R$4.800.000,"R. José Maria Lisboa, 100 - Jardim Paulista, São Paulo - SP, 01423-009",1980,,www.samsung.com.br,https://www.linkedin.com/in/samsung,https://www.instagram.com/samsung,3
